Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-01,Chrome 122.0.0.0,,,20-03-2024 15:48:22,20-03-2024 15:48:31,9.059s,PASSED
,,,,,,,
Test Cases/tes open browser,Chrome 122.0.0.0,,,20-03-2024 15:48:23,20-03-2024 15:48:31,8.553s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,20-03-2024 15:48:24,20-03-2024 15:48:28,4.449s,PASSED
"navigateToUrl(""google.com"")",Chrome 122.0.0.0,,,20-03-2024 15:48:28,20-03-2024 15:48:31,3.024s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,20-03-2024 15:48:31,20-03-2024 15:48:31,0.260s,PASSED
