Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-01,Chrome 122.0.6261.129,,,2024-03-15 18:49:06,2024-03-15 18:49:25,18.513s,PASSED
,,,,,,,
Test Cases/Open Browsers,Chrome 122.0.6261.129,,,2024-03-15 18:49:07,2024-03-15 18:49:25,17.810s,PASSED
"openBrowser("""")",Chrome 122.0.6261.129,,,2024-03-15 18:49:08,2024-03-15 18:49:13,5.379s,PASSED
"navigateToUrl(""detik.com"")",Chrome 122.0.6261.129,,,2024-03-15 18:49:13,2024-03-15 18:49:24,10.732s,PASSED
closeBrowser(),Chrome 122.0.6261.129,,,2024-03-15 18:49:24,2024-03-15 18:49:25,0.735s,PASSED
