Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-01,Chrome 122.0.6261.129,,,2024-03-15 18:38:24,2024-03-15 18:42:41,4m - 17.463s,PASSED
,,,,,,,
Test Cases/Open Browsers,Chrome 122.0.6261.129,,,2024-03-15 18:38:25,2024-03-15 18:42:41,4m - 16.680s,PASSED
"openBrowser("""")",Chrome 122.0.6261.129,,,2024-03-15 18:38:25,2024-03-15 18:38:29,3.732s,PASSED
"navigateToUrl(""detik.com"")",Chrome 122.0.6261.129,,,2024-03-15 18:38:29,2024-03-15 18:42:40,4m - 11.537s,PASSED
closeBrowser(),Chrome 122.0.6261.129,,,2024-03-15 18:42:40,2024-03-15 18:42:41,0.932s,PASSED
